motif_idx,pearson_diffusion,mse_diffusion,pearson_transformer,mse_transformer,pearson_diff,mse_diff
0,0.32183647,0.00033368642,0.09120911,0.00059783884,0.23062736,0.00026415242
1,0.25288895,0.0010461928,0.04937314,0.0020665822,0.20351581,0.0010203894
2,0.5479248,0.0002785248,0.046489112,0.0005419707,0.5014357,0.00026344592
3,0.6194997,0.00018557467,0.08519754,0.00036209912,0.5343021,0.00017652445
4,0.17218423,0.0008190765,0.059616562,0.001282814,0.11256766,0.00046373747
5,0.22808689,0.00029939468,-0.006251079,0.00058171595,0.23433797,0.00028232127
6,0.4272872,0.00061070407,0.061892647,0.0011231056,0.36539453,0.0005124016
7,0.111477636,0.0005084134,-0.021017892,0.00096156396,0.13249552,0.00045315054
8,0.4524945,0.004015419,0.047983736,0.007914835,0.40451077,0.0038994155
9,0.46448678,0.0005503805,0.06533684,0.0010674106,0.39914995,0.0005170301
10,0.24067664,0.0006266125,0.06304177,0.0011357062,0.17763487,0.0005090937
11,0.34790123,0.0017653578,0.09335774,0.0043052277,0.25454348,0.0025398699
12,0.45291138,0.00014864888,0.0750162,0.00026512987,0.37789518,0.000116480995
13,0.41973335,0.00019109297,0.024021048,0.00033467225,0.3957123,0.00014357928
14,0.37112123,0.00079737627,0.06691857,0.00151204,0.30420268,0.00071466377
15,0.45378384,0.0022032391,0.12173866,0.004690717,0.3320452,0.0024874778
16,0.51907897,0.0037101698,0.15379268,0.00542968,0.3652863,0.0017195102
17,0.23916197,0.0002691435,0.07176021,0.0008261662,0.16740176,0.0005570227
18,0.19219872,0.0002298023,-0.0162686,0.00048384594,0.20846732,0.00025404364
19,0.1062268,0.00031327136,0.026037574,0.0007821765,0.08018923,0.00046890514
20,0.20644993,0.00030459915,0.078699335,0.0005624405,0.12775059,0.00025784134
21,0.30436075,0.0027558063,0.030546425,0.005764289,0.27381432,0.0030084825
22,0.33301073,0.0009595479,0.047821365,0.001693241,0.28518936,0.0007336931
23,0.20087013,0.001584567,0.05388227,0.0027938976,0.14698786,0.0012093306
24,0.3745535,0.0020709694,0.04335182,0.004137235,0.33120167,0.0020662658
25,0.5242978,0.00026576416,0.16483778,0.00043480148,0.35946,0.00016903732
26,0.29421085,0.0031823355,0.041931294,0.006156482,0.25227955,0.0029741463
27,0.3277307,0.00063316623,0.10150841,0.0010200344,0.22622228,0.0003868682
28,0.54092836,0.000863402,0.16875227,0.0015833442,0.3721761,0.0007199422
29,0.4300844,5.996187e-05,0.121328354,0.000101124424,0.30875605,4.1162555e-05
30,0.6432698,0.0011343869,0.112903036,0.0021539887,0.5303667,0.0010196018
31,0.62302864,0.00010973398,0.09926507,0.00022914547,0.52376354,0.000119411496
32,0.2690289,0.00042692176,0.064999945,0.0010557163,0.20402896,0.00062879454
33,0.106204174,0.00024876234,0.020118563,0.000451512,0.08608561,0.00020274965
34,0.68750346,0.00047509518,0.2356538,0.0007797699,0.45184964,0.00030467473
35,0.5974914,0.00022265213,0.15941949,0.00041875738,0.4380719,0.00019610525
36,0.5270544,0.0019703624,0.17234518,0.0030907835,0.35470927,0.0011204211
37,0.6932099,0.0022197939,0.19745734,0.0043735257,0.49575254,0.0021537319
38,0.6828202,0.0005982436,0.20298,0.0011462874,0.47984022,0.0005480438
39,0.3772071,0.0006936238,0.030056285,0.0012174821,0.3471508,0.00052385835
40,0.41288137,0.0061690784,0.027607173,0.012014705,0.3852742,0.0058456264
41,0.3270971,0.00026456677,0.023556944,0.00050594454,0.30354014,0.00024137777
42,0.2345717,0.00097201014,0.037492175,0.0020004706,0.19707952,0.0010284605
43,0.3713765,0.0018426601,0.07584619,0.0048805713,0.29553032,0.0030379111
44,0.6245463,0.0025066368,0.0985822,0.0052730087,0.5259641,0.002766372
45,0.52768123,0.003396743,0.12558663,0.0073377835,0.4020946,0.0039410405
46,0.2970908,0.00036038755,0.12939513,0.0006690166,0.16769567,0.00030862907
47,0.5330957,0.0004969379,0.12249094,0.0009183159,0.41060477,0.000421378
